utctimestamp,01FI1101E/PV.CV,01FI1103/AI1/PV.CV,01AI1923/AI1/PV.CV,60PI0496/AI1/PV.CV,01TI1538/AI1/PV.CV,01HC1955/PID1/PV.CV
2017-01-09 00:00:00+00:00,512.6242628,43.54012331,99.86408997,1026.745621,6.395145516,5644.319969
2017-01-09 01:00:00+00:00,495.7396272,48.65950779,99.86408997,1026.078466,6.579625501,5665.078212
2017-01-09 02:00:00+00:00,509.9078364,59.0735759,99.86408997,1025.790324,6.436450973,5664.384059
2017-01-09 03:00:00+00:00,485.1046612,59.03262474,99.86408997,1025.179642,6.271088221,5638.598829
2017-01-09 04:00:00+00:00,514.9455375,52.04691241,99.86408997,1024.502126,6.39243282,5653.893541
2017-01-09 05:00:00+00:00,482.8688694,48.23525962,99.86408997,1023.83935,6.430581141,5669.753175
2017-01-09 06:00:00+00:00,489.3932909,35.00105924,99.86408997,1023.057839,6.541584404,5623.200743
2017-01-09 07:00:00+00:00,506.653073,42.14148849,99.86408997,1022.634084,6.35765965,5626.926894
2017-01-09 08:00:00+00:00,500.101602,30.63581904,99.86408997,1022.064728,6.11596452,5608.652108
2017-01-09 09:00:00+00:00,506.4834498,30.40289569,99.86408997,1021.454529,6.714350127,5632.165435
2017-01-09 10:00:00+00:00,495.9856847,24.34660828,99.86408997,1020.924101,6.530334445,5610.548968
2017-01-09 11:00:00+00:00,484.9469373,20.37896477,99.86408997,1019.848979,6.481826766,5633.84395
2017-01-09 12:00:00+00:00,491.3963363,47.71767396,99.86408997,1018.575313,6.550201646,5630.174544
2017-01-09 13:00:00+00:00,494.9723914,48.31073966,99.8554007,1017.330165,6.91060444,5627.071369
2017-01-09 14:00:00+00:00,489.2187355,29.39278487,99.83750087,1016.149831,7.013249197,5611.969642
2017-01-09 15:00:00+00:00,507.401401,40.75005366,99.8195991,1014.878624,7.110923072,5634.616064
2017-01-09 16:00:00+00:00,496.5135163,48.70283858,99.80169733,1013.794454,7.500962475,5632.269636
2017-01-09 17:00:00+00:00,492.6046912,35.28884397,99.78379556,1012.79228,7.62046905,5639.749142
2017-01-09 18:00:00+00:00,475.5339555,47.81743262,99.76589379,1011.490585,7.785768647,5623.577717
2017-01-09 19:00:00+00:00,485.831207,34.17274587,99.74799202,1010.04094,8.005201108,5630.257469
2017-01-09 20:00:00+00:00,490.0537771,40.88669439,99.72926386,1008.543931,8.193653473,5623.154565
2017-01-09 21:00:00+00:00,484.9070008,33.19118316,99.648639,1007.023493,8.326210479,5649.841805
2017-01-09 22:00:00+00:00,502.9765064,48.46711214,99.52950796,1005.49782,8.123599542,5641.833441
2017-01-09 23:00:00+00:00,484.5830461,53.16503152,99.41037692,1004.709129,7.364033815,5644.788004
2017-01-10 00:00:00+00:00,507.5520513,45.70705783,99.29124588,1005.209955,6.625239831,5628.748553
2017-01-10 01:00:00+00:00,484.4660054,26.62114278,99.17211485,1005.358663,6.610932404,5638.228224
2017-01-10 02:00:00+00:00,475.3325383,30.7329627,99.05298381,1005.534622,6.210520364,5623.633983
2017-01-10 03:00:00+00:00,479.7320367,27.72664062,98.93385277,1005.287277,5.4401612,5650.117165
2017-01-10 04:00:00+00:00,488.7616595,51.23046501,98.81802211,1004.902873,5.135007988,5654.00963
2017-01-10 05:00:00+00:00,511.3013898,53.52544939,98.76031103,1004.91714,4.961252788,5630.259023
2017-01-10 06:00:00+00:00,483.9783938,43.3666948,98.72388968,1004.939733,4.930084263,5625.255437
2017-01-10 07:00:00+00:00,487.9722457,34.26015137,98.68746833,1005.190577,5.080849772,5636.342461
2017-01-10 08:00:00+00:00,505.5323768,50.15486337,98.65104698,1005.63149,5.183585774,5629.804605
2017-01-10 09:00:00+00:00,504.9340922,20.4246123,98.61462563,1006.119008,5.360232711,5632.397511
2017-01-10 10:00:00+00:00,505.7851761,25.80682685,98.57820428,1006.280446,5.749869831,5652.991658
2017-01-10 11:00:00+00:00,504.6922695,58.71590498,98.54178294,1006.319611,6.450576506,5650.140572
2017-01-10 12:00:00+00:00,476.0639072,53.36112053,98.49933072,1006.239756,6.841891869,5638.146823
2017-01-10 13:00:00+00:00,498.6262309,34.22937767,98.40760345,1006.335429,7.041985389,5648.903764
2017-01-10 14:00:00+00:00,497.0332256,35.36454615,98.30501117,1006.797476,7.336812585,5647.929585
2017-01-10 15:00:00+00:00,498.03676,40.4139017,98.20241888,1007.553548,7.32957968,5634.937884
2017-01-10 16:00:00+00:00,486.4898693,56.224608,98.09982659,1008.238566,7.110825621,5621.627363
2017-01-10 17:00:00+00:00,505.3802283,43.84849267,97.9972343,1008.68158,6.988412251,5650.734969
2017-01-10 18:00:00+00:00,485.4566914,27.21644491,97.89464201,1008.910767,6.966477413,5651.358105
2017-01-10 19:00:00+00:00,501.157027,51.97619298,97.79204972,1009.050516,6.861253359,5632.174404
2017-01-10 20:00:00+00:00,493.1613838,37.64106876,97.69710043,1009.227244,6.672496114,5643.698884
